State,x,y
Kerala,-148.0,-240.0
Tamil Nadu,-79.0,-226.0
Karnataka,-128.0,-160.0
Andhra Pradesh,-71.0,-152.0
Telangana,-70.0,-98.0
Goa,-175.0,-150.0
Maharashtra,-130.0,-68.0
Gujarat,-190.0,-1.0
Rajasthan,-158.0,72.0
Madhya Pradesh,-85.0,-0.0
Chatishgarh,-17.0,-32.0
Orissa,34.0,-48.0
Jharkhand,43.0,9.0
Bihar,59.0,52.0
Uttar Pradesh,-35.0,74.0
Uttarakhand,-62.0,143.0
Himachal Pradesh,-89.0,176.0
Haryana,-114.0,119.0
Punjab,-129.0,153.0
Jammu and Kashmir,-138.0,256.0
Ladakh,-81.0,226.0
West Bengal,93.0,-3.0
Sikkim,103.0,115.0
Arunachal Pradesh,219.0,139.0
Nagaland,241.0,59.0
Manipur,227.0,23.0
Mizoram,208.0,-5.0
Tripura,145.0,-6.0
Meghalaya,134.0,30.0
Assam,173.0,63.0
West Bengal,90.0,-6.0
